config,label,example_id,level,language,actual,pred1,pred2,top1_correct,top2_correct,reciprocal_rank,correct_position,processing_time_s,detected_count,gt_detected_anywhere,all_detected_types
diff_eval,Diff Eval (9B),SRP_1,EASY,JAVA,SRP,SRP,DIP,True,True,1.0000,1,154.1600,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_2,EASY,JAVA,SRP,SRP,DIP,True,True,1.0000,1,150.8800,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_3,EASY,JAVA,SRP,SRP,DIP,True,True,1.0000,1,173.3300,2.0000,True,"SRP,DIP"
diff_eval,Diff Eval (9B),SRP_4,EASY,JAVA,SRP,SRP,DIP,True,True,1.0000,1,207.7100,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_5,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0000,1,501.3900,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_6,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0000,1,674.7100,4.0000,True,"SRP,OCP,ISP,DIP"
diff_eval,Diff Eval (9B),SRP_7,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0000,1,567.0700,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_8,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0000,1,498.3900,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_9,HARD,JAVA,SRP,SRP,DIP,True,True,1.0000,1,759.2200,4.0000,True,"SRP,OCP,ISP,DIP"
diff_eval,Diff Eval (9B),SRP_10,HARD,JAVA,SRP,DIP,SRP,False,True,0.5000,2,752.1000,4.0000,True,"SRP,OCP,ISP,DIP"
diff_eval,Diff Eval (9B),SRP_11,HARD,JAVA,SRP,SRP,DIP,True,True,1.0000,1,770.1600,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_12,HARD,JAVA,SRP,SRP,DIP,True,True,1.0000,1,626.0700,4.0000,True,"SRP,OCP,ISP,DIP"
diff_eval,Diff Eval (9B),SRP_13,EASY,PYTHON,SRP,SRP,DIP,True,True,1.0000,1,133.2700,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_14,EASY,PYTHON,SRP,SRP,OCP,True,True,1.0000,1,137.0300,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_15,EASY,PYTHON,SRP,SRP,DIP,True,True,1.0000,1,144.7000,3.0000,True,"SRP,OCP,DIP"
diff_eval,Diff Eval (9B),SRP_16,EASY,PYTHON,SRP,SRP,DIP,True,True,1.0000,1,143.8300,3.0000,True,"SRP,OCP,DIP"
